listing_id,date,reviewer_name,comments,sentiment
14857798,2018-07-09T00:00:00Z,Isabel,"good location and fairly clean, a spacious , light and airy apartment. some issues with shower fixing and poor communication with host as well as no clothes storage ",positive
14857798,2018-07-18T00:00:00Z,Guillaume,"Merci pour tout Niko, super appartement, super réactivité et gentillesse.brCest exactement ce que jattendais  parfait ",positive
14857798,2018-07-20T00:00:00Z,Stephen,Attractive lightfilled apartment; very clean with good facilities  generally wellequipped. Owner very obliging and assisted with our move into the apartment  eg carried our suitcases up the three flights of stairs. Good location  convenient to public transport and to major thoroughfares. Wed stay here again.br,positive
14857798,2018-07-26T00:00:00Z,Nathalie,"Eine tolle Wohnung, in der wir uns als 4köpfige Familie sehr wohl gefühlt haben. Sehr gute Lage und ruhig gelegen. In unmittelbarer Nähe ist alles zu finden, was das Herz begehrt. Kommen gerne wieder",neutral
14857798,2018-07-31T00:00:00Z,Margarete,"Truly great location, loved the neighborhood Minimalist style of the apartment equals clean and organized space. Would love to visit again.",positive
14857798,2018-08-13T00:00:00Z,Alice,"Lovely spacious apartment, chic and nicely decorated. Well equipped and good location, it took us around 2025 minutes by metro to get to the more touristy areas (Brandenburg gate etc.) and 1015 mins to Alexanderplatz. Only complaints were the part attaching the shower to the wall was broken, making it slightly awkward to use but still functional and the WiFi didnt work for the entirety of our stay, which did inform the owner about. Overall we had a great stay and would definitely recommend this apartment.",positive
14857798,2018-08-14T00:00:00Z,Lena,sehr stylische wohnung in einer absoluten top lage sehr zu empfehlen ,neutral
14857798,2018-08-21T00:00:00Z,Leire,Good location close to the metro station. 20 min walk to Alexanderplatz. Apartment was very clean but was missing clothes storage which wasnt great if you plan to stay more than couple days. Wifi didnt work for the first day.,neutral
14857798,2018-08-31T00:00:00Z,Anna,"Great location with lots within walking distance and close to public transport. Fresh, clean and spacious apartment. Youll enjoy your stay at Nikos place.",positive
14857798,2018-09-06T00:00:00Z,Claudia,Schöne Unterkunft,neutral
14857798,2018-09-07T00:00:00Z,Karl,"High quality and stylish apartment, great for a Berlin trip. Thanks Niko.",positive
14857798,2018-09-11T00:00:00Z,Marko,"Wonderful Apartment  PrenzlauerbergbrbrSpacious, clean, stylish and bright :)brThe apartment is a dream, great located with tons of cafes, bars and restaurants in walking distance.brThe underground station is 2 minutes away ... but we enjoyed super cheap UBER in Berlin :)brbrWe would recommend this Airbnb to everyone.brbr:)",positive
14857798,2018-09-18T00:00:00Z,Albernaz Rodrigo,Recomendo,neutral
14857798,2018-09-21T00:00:00Z,Manuel,"Spacious apartment in a great neighborhood. Very clean and with all basic amenities. Third floor no elevator if you mind it; not us. Checkin managed professionally by a hired company. Good value if you like being in a real local environment, with plenty of small bars and restaurants around.",positive
14857798,2018-09-23T00:00:00Z,Laura,Top Wohnung.,positive
14857798,2018-09-24T00:00:00Z,Reuben,clean stylish nice location,positive
14857798,2018-10-04T00:00:00Z,Siw Merete,"A nice apartment, and very clean. The sofa in the livingroom was ok to sleep in for a couple of days. We used 20 minutes to walk to Alexanderplatz, but its also a Ubahn nearby the apartment.",neutral
14857798,2018-10-05T00:00:00Z,Albert,"Nikos place was beautiful and just as the photos presented He was very accommodating of our arrival and departure times and went out of his way to make sure we had everything we needed. His food suggestions were also much appreciated. Just note theres a bit of a walk up some flights of stairs, and also, theres no tv, so make sure your bluetooth speakers are charged if you need background noise and activity like me :) Thanks again Niko",positive
